,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
416,1951,8,21,21/08/1951,CT,2,9,0,41.62,-73.42,41.8,-72.6,70.65,91.44,"Merryall Road,Hurds Corner,Western Connecticut Planning Region, ,06776","Burnham Street, ,Capitol Planning Region, ,06108"
418,1951,8,21,21/08/1951,MA,2,0,0,42.7,-71.13,42.77,-70.97,14.97,91.44,"Third Street, ,Essex County,Massachusetts,01845","Crane Neck Street, ,Essex County,Massachusetts,01985"
419,1951,8,21,21/08/1951,NH,2,0,0,42.83,-71.13,42.9,-71.07,7.89,61.26,"Maple Avenue, ,Rockingham County,New Hampshire,03811","Sunshine Drive, ,Rockingham County,New Hampshire,03848"
423,1951,8,24,24/08/1951,KS,2,0,0,39.78,-100.92,39.8,-100.85,5.31,91.44," , ,Rawlins County,Kansas, "," , ,Rawlins County,Kansas, "
424,1951,8,26,26/08/1951,IA,1,0,0,42.85,-95.95,42.92,-95.87,9.01,128.02,"140th Street, ,Plymouth County,Iowa,51050","500th Street, ,Sioux County,Iowa,51003"
431,1951,9,12,12/09/1951,WI,3,1,0,44.63,-92.08,44.92,-91.75,39.27,182.88,"Sylvester Road, ,Pepin County,Wisconsin,54721","670th Avenue, ,Dunn County,Wisconsin, "
434,1951,9,26,26/09/1951,WI,4,9,1,43.47,-89.25,43.53,-89.08,14.48,91.44," , ,Columbia County,Wisconsin,53960","Cemetery Road, ,Columbia County,Wisconsin,53956"
435,1951,9,26,26/09/1951,WI,4,3,6,44.33,-89.3,44.47,-88.78,42.49,91.44,"Oakdale Drive, ,Portage County,Wisconsin,54909","Madden Road, ,Waupaca County,Wisconsin,54961"
441,1951,11,13,13/11/1951,IL,2,0,0,40.2,-89.72,40.6,-88.98,76.28,45.72,"IL 29, ,Mason County,Illinois,62664","South East Street, ,McLean County,Illinois,61748"
442,1951,11,13,13/11/1951,IL,2,7,0,37.9,-89.53,37.97,-89.43,11.43,228.6,"Church School Road, ,Jackson County,Illinois,62916"," , ,Perry County,Illinois, "
452,1951,12,6,06/12/1951,IL,3,1,1,41.33,-89.18,41.65,-89.12,35.24,137.16,"3575 E Street, ,Bureau County,Illinois,61320"," , ,Lee County,Illinois,61318"
463,1952,1,22,22/01/1952,GA,2,8,0,31.27,-84.02,31.33,-83.9,14,320.04,"North Barnes Street, ,Mitchell County,Georgia,31784","Evergreen Road, ,Colquitt County,Georgia,31744"
468,1952,1,28,28/01/1952,GA,1,0,0,33.03,-83.97,33.03,-83.9,6.12,365.76,"Old Atlanta Highway, ,Monroe County,Georgia,31029","Harold G. Clarke Parkway, ,Monroe County,Georgia,31029"
474,1952,2,13,13/02/1952,AL,1,6,0,34.02,-86.75,34.07,-86.67,9.66,365.76," , ,Cullman County,Alabama,35070","Chamblee Mill Road,Chamblees Mill,Blount County,Alabama,35031"
475,1952,2,13,13/02/1952,AL,3,14,1,33.57,-87.67,33.62,-87.62,9.01,91.44,"Freeman Loop, ,Fayette County,Alabama, "," , ,Fayette County,Alabama, "
479,1952,2,13,13/02/1952,MO,2,0,0,36.07,-89.93,36.15,-89.87,10.94,91.44,"County Road 474,Samford,Pemiscot County,Missouri,63877","County Road 433,Vicksburg,Pemiscot County,Missouri,63877"
486,1952,2,13,13/02/1952,TN,3,2,0,35.22,-86.6,35.22,-86.47,11.91,320.04," ,Howell,Lincoln County,Tennessee, ","Old Gimlet Road, ,Lincoln County,Tennessee,37334"
487,1952,2,13,13/02/1952,TN,3,2,0,35.25,-85.83,35.27,-85.75,8.21,365.76,"West North Bluff Drive, ,Grundy County,Tennessee,37356"," , ,Grundy County,Tennessee,37387"
488,1952,2,13,13/02/1952,TN,4,44,3,35.2,-86.3,35.22,-86.08,20.44,91.44,"Lynchburg Road, ,Franklin County,Tennessee,37398","Grant Avenue, ,Franklin County,Tennessee, "
492,1952,2,29,29/02/1952,AL,3,12,0,34.5,-85.7,34.53,-85.67,5.31,365.76,"Greenhill Boulevard Northwest, ,DeKalb County,Alabama,35968","Greenhill Boulevard Northwest, ,DeKalb County,Alabama,35967"
493,1952,2,29,29/02/1952,GA,2,0,0,34.4,-83.33,34.42,-83.2,12.55,70.41,"Farrow Lane, ,Franklin County,Georgia,30521"," , ,Franklin County,Georgia, "
494,1952,2,29,29/02/1952,GA,2,3,0,34.37,-83.58,34.37,-83.42,15.13,274.32,"Pritchett Road, ,Banks County,Georgia,30554"," , ,Banks County,Georgia, "
498,1952,2,29,29/02/1952,TN,2,0,0,35.3,-84.67,35.45,-84.47,24.62,536.75,"Hanks Chapel Road, ,McMinn County,Tennessee,37370","County Road 410, ,McMinn County,Tennessee,37329"
501,1952,3,3,03/03/1952,AL,3,6,0,33.33,-87.9,33.37,-87.87,5.31,402.34,"13th Avenue Northwest, ,Pickens County,Alabama,35466","County Road 88, ,Pickens County,Alabama,35466"
503,1952,3,3,03/03/1952,GA,3,4,0,32.8,-83.68,32.78,-83.62,6.92,365.76,"O’Hara Drive North, ,Bibb County,Georgia,31206"," , ,Bibb County,Georgia, "
504,1952,3,10,10/03/1952,LA,3,0,0,32.23,-93.65,32.78,-93.07,81.92,594.36," , ,De Soto Parish,Louisiana, ","Dr Martin Luther King Jr, ,Claiborne Parish,Louisiana,71040"
509,1952,3,18,18/03/1952,IL,2,0,0,38.1,-89.93,38.15,-89.87,7.89,91.44,"Nathan Road, ,Randolph County,Illinois,62242"," , ,Randolph County,Illinois, "
510,1952,3,18,18/03/1952,MO,2,1,0,37.75,-90.5,37.88,-90.22,29.61,91.44,"State Highway B,Doe Run,St. Francois County,Missouri,63637","State Highway 32,Chestnut Ridge,Sainte Genevieve County,Missouri,63670"
511,1952,3,18,18/03/1952,MO,2,0,0,37.37,-89.78,37.45,-89.73,9.98,457.2,"County Road 361, ,Cape Girardeau County,Missouri,63739","County Road 444, ,Cape Girardeau County,Missouri,63755"
514,1952,3,21,21/03/1952,AR,2,15,5,34.8,-91.8,34.98,-91.73,21.4,381.3,"I 40, ,Lonoke County,Arkansas,72186","Harshaw Road, ,Prairie County,Arkansas,72066"
515,1952,3,21,21/03/1952,AR,3,0,0,34.72,-92.82,34.78,-92.52,28.49,402.34,"Johnson Highway, ,Saline County,Arkansas, ","Oklahoma Gun Club, ,Pulaski County,Arkansas,72223"
516,1952,3,21,21/03/1952,AR,3,0,0,35.13,-91.45,35.27,-91.18,28.32,548.64," , ,White County,Arkansas,72143","US 64, ,Woodruff County,Arkansas,72101"
517,1952,3,21,21/03/1952,AR,3,6,0,35.47,-91.2,35.8,-90.97,45.87,402.34,"Jackson 21,Shoffner,Jackson County,Arkansas, "," , ,Craighead County,Arkansas,72421"
518,1952,3,21,21/03/1952,AR,3,5,1,35.53,-90.42,35.62,-90.28,15.13,182.88,"Liberty Street, ,Poinsett County,Arkansas,72365","South County Road 17, ,Mississippi County,Arkansas,72354"
519,1952,3,21,21/03/1952,AR,3,57,1,35.67,-90.52,35.95,-89.9,63.89,804.67,"South Parkview Drive, ,Poinsett County,Arkansas,72472","North Franklin Street, ,Mississippi County,Arkansas,72315"
520,1952,3,21,21/03/1952,AR,3,96,3,35.6,-90.72,35.67,-90.52,83.36,804.67,"North Illinois Avenue, ,Poinsett County,Arkansas,72432","South Parkview Drive, ,Poinsett County,Arkansas,72472"
521,1952,3,21,21/03/1952,AR,3,9,9,34.53,-91.8,34.73,-91.65,26.07,9.14," , ,Lonoke County,Arkansas,72072"," , ,Prairie County,Arkansas, "
522,1952,3,21,21/03/1952,AR,4,6,2,34.9,-91.85,34.8,-91.8,12.23,9.14,"Woodson Road,Wattensaw,Lonoke County,Arkansas,72086","I 40, ,Lonoke County,Arkansas,72186"
524,1952,3,21,21/03/1952,AR,4,9,7,34.02,-94.02,34.22,-93.97,20.92,761.7,"Weyco Road, ,Howard County,Arkansas, ","32300 Road, ,Howard County,Arkansas, "
525,1952,3,21,21/03/1952,AR,4,180,29,35,-91.25,35.13,-91.08,21.08,804.67,"Martin Luther King, ,Woodruff County,Arkansas,72036"," , ,Woodruff County,Arkansas, "
526,1952,3,21,21/03/1952,AR,4,325,50,35.22,-91.7,35.37,-91.52,23.5,1609.34,"Lions Way, ,White County,Arkansas,72143","Russell Mountain Road, ,White County,Arkansas,72139"
527,1952,3,21,21/03/1952,MO,4,100,17,36.05,-89.82,36.07,-89.7,10.46,804.67,"MO E, ,Pemiscot County,Missouri,63877","164,Cottonwood Point,Pemiscot County,Missouri,63830"
529,1952,3,21,21/03/1952,MS,4,74,16,34.87,-89.68,35.12,-89.28,47.64,390.45,"Church Street, ,Marshall County,Mississippi,38611","La Grange Road, ,Fayette County,Tennessee,38046"
534,1952,3,21,21/03/1952,TN,3,19,0,36.02,-88.27,36.07,-88.2,8.21,161.85,"Marie Street, ,Carroll County,Tennessee,38342","Big Sandy River Road, ,Benton County,Tennessee, "
535,1952,3,21,21/03/1952,TN,3,30,10,35.95,-89.43,36.13,-89.2,29.13,914.4,"Fisher Road,Unionville,Dyer County,Tennessee,38040","Grills Road, ,Dyer County,Tennessee,38059"
536,1952,3,21,21/03/1952,TN,4,10,2,36.02,-89.2,36.08,-89.18,7.56,182.88,"Old State Route 104, ,Gibson County,Tennessee,38382","Halls Chapel Road,Lapata,Dyer County,Tennessee,38059"
538,1952,3,21,21/03/1952,TN,4,157,38,35.27,-88.98,35.63,-88.28,75.32,161.85,"North Main Street, ,Hardeman County,Tennessee,38008","US 412;SR 114,Rock Hill,Henderson County,Tennessee, "
539,1952,3,22,22/03/1952,AL,4,50,4,34.6,-87,34.68,-86.63,34.76,91.44,"2nd Street Southwest,West Decatur,Morgan County,Alabama,35601","Aerobee Road, ,Madison County,Alabama,35808"
544,1952,4,3,03/04/1952,TX,2,1,0,33.6,-96.7,33.63,-96.63,7.89,182.88,"State Highway 289, ,Grayson County,Texas, ","Binkley Park Drive, ,Grayson County,Texas,75092"
547,1952,4,4,04/04/1952,LA,2,3,0,29.87,-91.62,29.93,-91.55,10.3,18.29,"Desonier Road,Sorrel,St. Mary Parish,Louisiana,70544","West Atchafalaya Basin Spillwa, ,St. Mary Parish,Louisiana,70523"
548,1952,4,4,04/04/1952,LA,2,33,4,30.37,-92.13,30.4,-91.8,32.83,61.26,"La 356,Bristol,St. Landry Parish,Louisiana,70584"," , ,St. Landry Parish,Louisiana, "
549,1952,4,4,04/04/1952,LA,3,10,0,30.17,-92.87,30.37,-92.3,59.06,91.44," , ,Jefferson Davis Parish,Louisiana, "," , ,Acadia Parish,Louisiana, "
553,1952,4,5,05/04/1952,NC,2,0,0,35.8,-78.88,35.9,-78.88,11.1,274.32,"Cozy Oak Drive, ,Wake County,North Carolina,27519","T.W. Alexander Drive, ,Durham County,North Carolina,27709"
557,1952,4,5,05/04/1952,PA,3,4,0,39.8,-76.98,39.95,-76.72,28.16,9.14,"York Street, ,York County,Pennsylvania,17331","South Duke Street, ,York County,Pennsylvania,17403"
559,1952,4,5,05/04/1952,VA,2,0,0,38.37,-78.73,38.42,-78.67,7.89,9.14,"Jacob Burner Drive, ,Rockingham County,Virginia,22840","Bryant Hollow Road,East Point,Rockingham County,Virginia,22827"
561,1952,4,8,08/04/1952,OK,0,0,0,35.25,-99.7,35.85,-99.35,73.87,91.44,"B K 18, ,Beckham County,Oklahoma, "," , ,Dewey County,Oklahoma,73654"
578,1952,4,30,30/04/1952,OK,2,0,0,36.77,-99.08,36.77,-98.83,22.05,182.88," , ,Woods County,Oklahoma, ","E0170 Road, ,Woods County,Oklahoma, "
580,1952,5,6,06/05/1952,NY,2,0,0,44.33,-74,44.38,-73.92,7.89,182.88," ,Whiteface,Essex County,New York,12946"," , ,Essex County,New York,12997"
585,1952,5,9,09/05/1952,IN,1,0,0,39.8,-86.07,39.87,-85.78,25.11,11.89,"East 23rd Street, ,Marion County,Indiana,46218","East 600 N,Cooper Corner,Hancock County,Indiana,46154"
590,1952,5,10,10/05/1952,SC,3,4,2,34.8,-82.25,34.8,-81.85,36.53,75.9,"Sunning Hill Road, ,Greenville County,South Carolina,29681","Highway 56, ,Spartanburg County,South Carolina,29374"
591,1952,5,11,11/05/1952,GA,3,10,0,31.37,-83.25,31.4,-83.2,6.92,182.88," , ,Berrien County,Georgia,31622","County Road 243, ,Berrien County,Georgia,31622"
593,1952,5,15,15/05/1952,CO,3,5,0,40.33,-104.57,40.25,-104.47,11.91,137.16,"County Road 48, ,Weld County,Colorado,80644"," , ,Weld County,Colorado, "
598,1952,5,22,22/05/1952,KS,4,3,0,38.98,-95.22,39.07,-94.72,43.29,402.34,"Lincoln Street, ,Douglas County,Kansas,66044"," , ,Wyandotte County,Kansas,66106"
605,1952,5,23,23/05/1952,OK,1,0,0,34.67,-98.87,34.83,-98.65,27.2,91.44,"CR E1620,Odetta,Kiowa County,Oklahoma,73566"," , ,Comanche County,Oklahoma, "
609,1952,5,23,23/05/1952,TX,1,1,0,31.45,-100.48,31.45,-100.37,11.43,45.72,"Chestnut Street, ,Tom Green County,Texas,76901","Blackwood Road, ,Tom Green County,Texas,76905"
618,1952,6,5,05/06/1952,TX,1,0,0,33.65,-96.75,33.83,-96.65,22.21,30.18,"Logston Road, ,Grayson County,Texas,75092"," , ,Grayson County,Texas,75020"
619,1952,6,10,10/06/1952,ND,2,0,0,46.78,-103.02,46.78,-102.8,16.25,9.14,"122nd Avenue Southwest,Daglum,Stark County,North Dakota,58655","44th Street Southwest, ,Stark County,North Dakota, "
620,1952,6,10,10/06/1952,ND,3,0,0,47.07,-104,47.2,-104.03,14.16,274.32,"24th Street Southwest, ,Golden Valley County,North Dakota, "," , ,Golden Valley County,North Dakota, "
627,1952,6,19,19/06/1952,KS,2,0,0,37.18,-97.42,37.22,-97.37,5.31,54.86,"South Ridge Road, ,Sumner County,Kansas,67152","East 50th Street South, ,Sumner County,Kansas,67152"
629,1952,6,21,21/06/1952,KS,2,0,0,39.13,-95.15,39.13,-94.68,40.07,9.14,"Dam Road, ,Leavenworth County,Kansas,60886","North 43rd Street, ,Wyandotte County,Kansas,66104"
631,1952,6,23,23/06/1952,IA,4,4,0,42.75,-95.85,42.9,-95.42,38.79,365.76,"530th Street, ,Cherokee County,Iowa,51035","Sleepy Hollow Road, ,Cherokee County,Iowa,51047"
632,1952,6,23,23/06/1952,MN,2,0,0,45.3,-95.5,45.35,-95.33,13.52,201.17," , ,Swift County,Minnesota, ","40th Street Northeast, ,Swift County,Minnesota, "
633,1952,6,23,23/06/1952,MN,2,10,0,44,-95.28,44.85,-93.47,168.66,201.17,"400th Avenue, ,Cottonwood County,Minnesota,56174","Village Woods Drive, ,Hennepin County,Minnesota,55347"
635,1952,6,23,23/06/1952,WI,3,6,2,45.42,-92.63,45.58,-92.33,29.29,91.44,"Oregon Street, ,Polk County,Wisconsin,54024","Round Lake Road, ,Polk County,Wisconsin,54853"
636,1952,6,24,24/06/1952,MN,2,15,0,44.33,-93.85,45.2,-93.07,114.1,244.14,"County Road 148, ,Le Sueur County,Minnesota, ","East Rondeau Lake Road, ,Anoka County,Minnesota,55038"
638,1952,6,26,26/06/1952,CO,2,0,0,40,-103.6,0,0,11.27,9.14,"County Road A, ,Morgan County,Colorado, "," , , , , "
639,1952,6,26,26/06/1952,KS,2,0,0,39.68,-99.45,39.77,-99.25,19.31,9.14,"KS 9,Speed,Phillips County,Kansas, ","East Quail Road,Gretna,Phillips County,Kansas,67661"
648,1952,7,1,01/07/1952,ND,2,0,0,47.82,-103.55,47.8,-103.33,15.61,9.14,"28th Street Northwest,Rawson,McKenzie County,North Dakota,58831","US 85 Business, ,McKenzie County,North Dakota, "
650,1952,7,1,01/07/1952,ND,4,26,1,47.05,-100.5,47.2,-99.5,77.25,137.16,"227th Avenue Northeast, ,Burleigh County,North Dakota, ","15th Street Southeast, ,Kidder County,North Dakota, "
652,1952,7,2,02/07/1952,MN,1,0,0,45.87,-96.18,45.82,-96.12,6.6,198.42,"County Highway 8,Norcross,Grant County,Minnesota,56274","MN 27, ,Grant County,Minnesota,56248"
654,1952,7,6,06/07/1952,KS,1,0,0,39.83,-100.2,40,-100.13,19.15,9.14,"US 36, ,Decatur County,Kansas,67653","Road W-13, ,Norton County,Kansas, "
656,1952,7,7,07/07/1952,OK,1,0,0,35.33,-97.83,35.37,-97.78,5.79,45.72,"North Gregory Road, ,Grady County,Oklahoma, "," , ,Oklahoma County,Oklahoma, "
658,1952,7,12,12/07/1952,NE,1,0,0,41.17,-103,40.92,-102.58,44.42,9.14," , ,Cheyenne County,Nebraska, ","United States Highway 138, ,Sedgwick County,Colorado,80749"
663,1952,7,16,16/07/1952,MN,2,0,0,46.72,-96.53,46.83,-96.42,15.13,304.5,"120th Avenue South,Baker,Clay County,Minnesota, ","40th Avenue South, ,Clay County,Minnesota, "
667,1952,7,19,19/07/1952,MT,3,0,0,46.37,-104.28,46.37,-103.12,89.32,9.14,"West Milwaukee Avenue, ,Fallon County,Montana,59313"," , ,Slope County,North Dakota, "
668,1952,7,19,19/07/1952,MT,3,2,1,46.97,-104.25,47.02,-103.88,26.39,9.14," , ,Wibaux County,Montana,59353"," , ,Golden Valley County,North Dakota, "
669,1952,7,19,19/07/1952,PA,2,0,0,41.93,-79.75,41.92,-79.63,9.01,24.69,"PA-89,Beaver Dam,Erie County,Pennsylvania,16407","East South Street, ,Erie County,Pennsylvania,16407"
672,1952,7,24,24/07/1952,ND,2,0,0,47,-98.67,47,-98.5,11.75,9.14," , ,Stutsman County,North Dakota, ","29th Street Southeast, ,Stutsman County,North Dakota,58481"
677,1952,8,7,07/08/1952,KS,3,0,0,39,-98.52,39.05,-98.45,7.56,9.14," , ,Russell County,Kansas, ","East Milo Drive, ,Lincoln County,Kansas, "
678,1952,8,10,10/08/1952,NJ,1,0,0,40,-74.6,40.42,-74.07,63.25,91.44,"Range Road,Pointville,Burlington County,New Jersey,08640","Normandy Road,Leonardo,Monmouth County,New Jersey,07737"
680,1952,8,13,13/08/1952,NE,3,1,0,41.47,-97.28,41.25,-96.38,71.45,1188.72,"East 53rd Street, ,Platte County,Nebraska,68601","County Road N, ,Saunders County,Nebraska,68073"
681,1952,8,13,13/08/1952,NE,4,20,0,41.22,-96.58,40.93,-96.22,42.97,100.58,"County Road L, ,Saunders County,Nebraska,68033","Waverly Road, ,Cass County,Nebraska,68366"
683,1952,8,15,15/08/1952,OK,2,0,0,35.8,-97.5,35.85,-97.43,8.21,70.41,"West Seward Road,Seward,Logan County,Oklahoma, ","Connie Lane, ,Logan County,Oklahoma,73044"
687,1952,8,27,27/08/1952,MN,1,0,0,45.58,-96.22,45.58,-95.93,21.4,9.14," , ,Stevens County,Minnesota,56221","5th Street, ,Stevens County,Minnesota,56267"
693,1952,11,16,16/11/1952,MO,3,2,0,40.45,-95.07,40.57,-94.68,34.76,548.64,"West 6th Street, ,Nodaway County,Missouri,64428","Missouri-Taylor Street, ,Taylor County,Iowa, "
694,1952,11,17,17/11/1952,AR,2,2,0,34.57,-94.4,34.95,-93.9,63.09,91.44,"Forest Road, ,Polk County,Arkansas, "," , ,Scott County,Arkansas, "
698,1952,12,3,03/12/1952,TX,2,4,0,30.9,-95.3,30.95,-95.08,21.4,91.44," , ,San Jacinto County,Texas, ","Josserand Road, ,Trinity County,Texas, "
699,1952,12,9,09/12/1952,KY,3,3,0,37.68,-87.3,37.95,-86.73,56.33,804.67,"Clark Road, ,Daviess County,Kentucky,42301","66A Twin, ,Perry County,Indiana,47586"
701,1953,1,7,07/01/1953,AR,2,2,0,33.83,-92.17,33.87,-92.1,7.24,91.44," , ,Cleveland County,Arkansas,71660","Cash Road, ,Cleveland County,Arkansas,71665"
704,1953,1,8,08/01/1953,SC,2,2,0,34.02,-79.77,34.12,-79.65,15.45,137.16,"Johnny Lee Road, ,Florence County,South Carolina,29530","Pecan Grove Road, ,Florence County,South Carolina,29505"
707,1953,1,9,09/01/1953,FL,2,12,0,27.83,-82.17,27.95,-82.1,14.81,91.44,"Browning Road, ,Hillsborough County,Florida,33547","Cameron Road, ,Hillsborough County,Florida,33567"
711,1953,1,20,20/01/1953,GA,1,1,0,31.5,-83.55,31.53,-83.42,13.36,137.16,"Pinelake Road, ,Tift County,Georgia,31793","Needle Road, ,Tift County,Georgia,31794"
713,1953,1,22,22/01/1953,MS,2,1,0,31.55,-90.88,32.12,-90.5,72.74,91.44,"Hilton Zumbro, ,Franklin County,Mississippi, ","Honeysuckle Lane,Chapel Hill,Hinds County,Mississippi,39175"
714,1953,1,23,23/01/1953,AL,3,1,0,31.53,-88,31.57,-87.9,10.46,274.32," , ,Washington County,Alabama, "," , ,Clarke County,Alabama, "
715,1953,2,6,06/02/1953,LA,3,21,2,30.48,-90.7,30.53,-90.45,25.11,365.76,"I 12, ,Livingston Parish,Louisiana,70744","M C Moore Road, ,Tangipahoa Parish,Louisiana,70402"
718,1953,2,19,19/02/1953,OK,1,0,0,34.45,-96.97,34.5,-96.92,7.56,61.26," , ,Murray County,Oklahoma, ","Collins Moss Road, ,Murray County,Oklahoma, "
724,1953,2,20,20/02/1953,AL,2,6,0,34.38,-87.07,34.42,-86.95,11.43,201.17,"South Johnson Chapel Road,Danville,Morgan County,Alabama,35619","Higdon Road Southwest, ,Morgan County,Alabama,35640"
727,1953,2,20,20/02/1953,MS,1,0,0,33.52,-89.92,33.7,-89.73,26.55,91.44,"George Street, ,Carroll County,Mississippi,38917","McCormick Road, ,Grenada County,Mississippi,38926"
728,1953,2,20,20/02/1953,MS,1,0,0,34.03,-88.88,34.32,-88.73,34.28,91.44,"County Road 430, ,Chickasaw County,Mississippi,38850","West Barnes Crossing Road, ,Lee County,Mississippi, "
730,1953,2,20,20/02/1953,MS,2,1,0,34.25,-89.05,34.35,-88.83,22.85,804.67,"West Reynolds Street, ,Pontotoc County,Mississippi,38863","Lagoon Road,Sherman,Pontotoc County,Mississippi,38869"
732,1953,3,13,13/03/1953,OK,2,1,0,34.77,-97.95,35.07,-97.75,37.98,91.44,"CR E1550, ,Grady County,Oklahoma,73082","Elm Road, ,Grady County,Oklahoma, "
737,1953,3,13,13/03/1953,OK,3,11,2,33.92,-97.27,34.32,-96.65,72.9,182.88," , ,Love County,Oklahoma, ","West Blue River Road, ,Johnston County,Oklahoma,73460"
738,1953,3,13,13/03/1953,TX,4,25,17,33.28,-99.95,33.42,-99.78,22.37,45.72,"County Road 174,Jud,Haskell County,Texas,79544","State Highway 222, ,Knox County,Texas,79529"
739,1953,3,14,14/03/1953,AR,2,0,0,35.88,-92.23,36.18,-91.7,58.26,304.5," , ,Stone County,Arkansas, ","AR 56, ,Izard County,Arkansas,72519"
740,1953,3,14,14/03/1953,AR,3,0,0,35.22,-93.95,35.55,-93.37,64.53,804.67,"AR 217,Chismville,Logan County,Arkansas, ","Sleepy Hollow Lane, ,Johnson County,Arkansas,72846"
741,1953,3,14,14/03/1953,AR,3,7,0,35.28,-93.28,35.4,-93.12,19.63,804.67,"AR 22, ,Logan County,Arkansas, ","Pirate Loop, ,Pope County,Arkansas,72837"
742,1953,3,14,14/03/1953,IL,2,0,0,38.4,-89.47,38.62,-88.73,68.08,182.88," , ,Washington County,Illinois, ","County Road 1000 North, ,Marion County,Illinois,62849"
746,1953,3,14,14/03/1953,MS,2,0,1,34.67,-88.43,34.7,-88.4,5.31,9.14,"MS 364,Altitude,Prentiss County,Mississippi,38829","MS 364,Altitude,Prentiss County,Mississippi,38829"
749,1953,3,14,14/03/1953,TN,2,8,0,35.47,-89.45,35.67,-89.08,39.91,30.18," , ,Haywood County,Tennessee, ","Lem Williams Road, ,Haywood County,Tennessee,38006"
750,1953,3,14,14/03/1953,TN,2,2,0,35.37,-88.78,35.57,-88.43,38.62,91.44," , ,Chester County,Tennessee, ","Feather Ridge Road, ,Henderson County,Tennessee,38351"
752,1953,3,14,14/03/1953,TN,3,3,0,35.53,-88.97,35.75,-88.62,39.75,91.44,"Williamson Road, ,Madison County,Tennessee,38391","Gowan Road, ,Madison County,Tennessee,38351"
753,1953,3,15,15/03/1953,NC,3,1,0,35.77,-78.1,35.75,-77.57,48.44,24.69,"Old Smithfield Road, ,Nash County,North Carolina,27807"," , ,Edgecombe County,North Carolina, "
755,1953,3,18,18/03/1953,IN,1,0,0,40.77,-84.92,40.73,-84.85,5.31,24.69,"N 100 E, ,Adams County,Indiana,46733","E 100 S, ,Adams County,Indiana,46772"
758,1953,3,21,21/03/1953,IA,1,0,0,42.05,-95.72,41.93,-95.87,17.54,548.64,"210th Street, ,Monona County,Iowa,51060"," , ,Monona County,Iowa,51558"
759,1953,3,21,21/03/1953,IA,2,0,0,41.88,-92.62,42.05,-92.55,18.83,91.44,"County Road E69, ,Tama County,Iowa,50106","270th Street, ,Tama County,Iowa,52342"
760,1953,3,21,21/03/1953,IA,3,0,0,43.27,-94.63,43.3,-94,51.18,365.76,"260th Street,Hoprig,Emmet County,Iowa,50578","370th Street, ,Kossuth County,Iowa,50451"
762,1953,3,21,21/03/1953,MS,1,0,0,34.28,-90.65,34.38,-90.55,14.48,9.14," ,Stovall,Coahoma County,Mississippi,38630","Long Lake Road,Long Lake,Coahoma County,Mississippi,39617"
764,1953,3,22,22/03/1953,LA,2,22,2,31.1,-93.22,33.52,-90.87,377.71,182.88," , ,Vernon Parish,Louisiana,71459","Bolivar Road,Napanee,Washington County,Mississippi, "
765,1953,3,22,22/03/1953,MS,1,1,0,31.88,-89.95,32.57,-88.42,163.03,9.14,"Quail Run Drive, ,Simpson County,Mississippi,39114","Connie Brown Road, ,Lauderdale County,Mississippi,39335"
766,1953,3,22,22/03/1953,TN,2,0,0,35.93,-89.65,36.15,-89.18,48.44,91.44," ,Chic,Dyer County,Tennessee, ","Trimble Road,Churchton,Dyer County,Tennessee,38259"
768,1953,3,30,30/03/1953,KS,0,0,0,37.03,-97.78,37.27,-97.75,25.91,9.14,"South Blackstone Road, ,Sumner County,Kansas, ","West 10th Avenue, ,Sumner County,Kansas,67004"
775,1953,4,9,09/04/1953,IL,2,3,0,40.12,-89.45,40.18,-89.35,10.46,27.43,"1400th Street, ,Logan County,Illinois, ","1800th Street, ,Logan County,Illinois,62656"
776,1953,4,9,09/04/1953,IL,3,22,3,40.18,-88.22,40.32,-85.23,252.18,685.8,"County Road 1300 East, ,Champaign County,Illinois, ","North Missinewa Avenue, ,Delaware County,Indiana,47336"
782,1953,4,14,14/04/1953,OK,2,0,0,35.5,-97.83,35.3,-97.68,26.07,402.34,"Korean War Veterans Memorial Highway, ,Canadian County,Oklahoma, ","Waldon Drive, ,Grady County,Oklahoma,73089"
790,1953,4,18,18/04/1953,AL,3,495,8,32.6,-85.58,32.48,-84.92,64.05,365.76,"Martin Luther King Drive, ,Lee County,Alabama,36865","Barr Street, ,Muscogee County,Georgia,31907"
800,1953,4,24,24/04/1953,MS,2,0,0,31.72,-91.07,32.58,-89.77,155.62,27.43,"US 61, ,Jefferson County,Mississippi,39069"," , ,Scott County,Mississippi, "
